Pattern         		
IR_J-94_10      	ND_J-94_10      	Meter_J-94_10      
IR_J-94_30      	ND_J-94_30      	Meter_J-94_30      
IR_J-94_50      	ND_J-94_50      	Meter_J-94_50      
IR_J-94_70      	ND_J-94_70      	Meter_J-94_70      
IR_J-94_90      	ND_J-94_90      	Meter_J-94_90      
IR_J-94_110     	ND_J-94_110     	Meter_J-94_110     
IR_J-94_130     	ND_J-94_130     	Meter_J-94_130     
IR_J-94_150     	ND_J-94_150     	Meter_J-94_150     
IR_J-94_170     	ND_J-94_170     	Meter_J-94_170     
IR_J-94_190     	ND_J-94_190     	Meter_J-94_190     
IR_J-94_210     	ND_J-94_210     	Meter_J-94_210     
IR_J-94_230     	ND_J-94_230     	Meter_J-94_230     
IR_J-94_250     	ND_J-94_250     	Meter_J-94_250     
IR_J-94_270     	ND_J-94_270     	Meter_J-94_270     
IR_J-94_290     	ND_J-94_290     	Meter_J-94_290     
IR_J-94_310     	ND_J-94_310     	Meter_J-94_310     
IR_J-94_330     	ND_J-94_330     	Meter_J-94_330     
IR_J-94_350     	ND_J-94_350     	Meter_J-94_350     
IR_J-244_10     	ND_J-244_10     	Meter_J-244_10     
IR_J-244_30     	ND_J-244_30     	Meter_J-244_30     
IR_J-244_50     	ND_J-244_50     	Meter_J-244_50     
IR_J-244_70     	ND_J-244_70     	Meter_J-244_70     
IR_J-244_90     	ND_J-244_90     	Meter_J-244_90     
IR_J-244_110    	ND_J-244_110    	Meter_J-244_110    
IR_J-244_130    	ND_J-244_130    	Meter_J-244_130    
IR_J-244_150    	ND_J-244_150    	Meter_J-244_150    
IR_J-244_170    	ND_J-244_170    	Meter_J-244_170    
IR_J-244_190    	ND_J-244_190    	Meter_J-244_190    
IR_J-244_210    	ND_J-244_210    	Meter_J-244_210    
IR_J-244_230    	ND_J-244_230    	Meter_J-244_230    
IR_J-244_250    	ND_J-244_250    	Meter_J-244_250    
IR_J-244_270    	ND_J-244_270    	Meter_J-244_270    
IR_J-244_290    	ND_J-244_290    	Meter_J-244_290    
IR_J-244_310    	ND_J-244_310    	Meter_J-244_310    
IR_J-244_330    	ND_J-244_330    	Meter_J-244_330    
IR_J-244_350    	ND_J-244_350    	Meter_J-244_350    
IR_J-282_10     	ND_J-282_10     	Meter_J-282_10     
IR_J-282_30     	ND_J-282_30     	Meter_J-282_30     
IR_J-282_50     	ND_J-282_50     	Meter_J-282_50     
IR_J-282_70     	ND_J-282_70     	Meter_J-282_70     
IR_J-282_90     	ND_J-282_90     	Meter_J-282_90     
IR_J-282_110    	ND_J-282_110    	Meter_J-282_110    
IR_J-282_130    	ND_J-282_130    	Meter_J-282_130    
IR_J-282_150    	ND_J-282_150    	Meter_J-282_150    
IR_J-282_170    	ND_J-282_170    	Meter_J-282_170    
IR_J-282_190    	ND_J-282_190    	Meter_J-282_190    
IR_J-282_210    	ND_J-282_210    	Meter_J-282_210    
IR_J-282_230    	ND_J-282_230    	Meter_J-282_230    
IR_J-282_250    	ND_J-282_250    	Meter_J-282_250    
IR_J-282_270    	ND_J-282_270    	Meter_J-282_270    
IR_J-282_290    	ND_J-282_290    	Meter_J-282_290    
IR_J-282_310    	ND_J-282_310    	Meter_J-282_310    
IR_J-282_330    	ND_J-282_330    	Meter_J-282_330    
IR_J-282_350    	ND_J-282_350    	Meter_J-282_350    
IR_J-307_10     	ND_J-307_10     	Meter_J-307_10     
IR_J-307_30     	ND_J-307_30     	Meter_J-307_30     
IR_J-307_50     	ND_J-307_50     	Meter_J-307_50     
IR_J-307_70     	ND_J-307_70     	Meter_J-307_70     
IR_J-307_90     	ND_J-307_90     	Meter_J-307_90     
IR_J-307_110    	ND_J-307_110    	Meter_J-307_110    
IR_J-307_130    	ND_J-307_130    	Meter_J-307_130    
IR_J-307_150    	ND_J-307_150    	Meter_J-307_150    
IR_J-307_170    	ND_J-307_170    	Meter_J-307_170    
IR_J-307_190    	ND_J-307_190    	Meter_J-307_190    
IR_J-307_210    	ND_J-307_210    	Meter_J-307_210    
IR_J-307_230    	ND_J-307_230    	Meter_J-307_230    
IR_J-307_250    	ND_J-307_250    	Meter_J-307_250    
IR_J-307_270    	ND_J-307_270    	Meter_J-307_270    
IR_J-307_290    	ND_J-307_290    	Meter_J-307_290    
IR_J-307_310    	ND_J-307_310    	Meter_J-307_310    
IR_J-307_330    	ND_J-307_330    	Meter_J-307_330    
IR_J-307_350    	ND_J-307_350    	Meter_J-307_350    
IR_J-234_10     	ND_J-234_10     	Meter_J-234_10     
IR_J-234_30     	ND_J-234_30     	Meter_J-234_30     
IR_J-234_50     	ND_J-234_50     	Meter_J-234_50     
IR_J-234_70     	ND_J-234_70     	Meter_J-234_70     
IR_J-234_90     	ND_J-234_90     	Meter_J-234_90     
IR_J-234_110    	ND_J-234_110    	Meter_J-234_110    
IR_J-234_130    	ND_J-234_130    	Meter_J-234_130    
IR_J-234_150    	ND_J-234_150    	Meter_J-234_150    
IR_J-234_170    	ND_J-234_170    	Meter_J-234_170    
IR_J-234_190    	ND_J-234_190    	Meter_J-234_190    
IR_J-234_210    	ND_J-234_210    	Meter_J-234_210    
IR_J-234_230    	ND_J-234_230    	Meter_J-234_230    
IR_J-234_250    	ND_J-234_250    	Meter_J-234_250    
